Date,Portfolio_Value,Benchmark_Value
2021-01-25,175533.83121347718,144477.80356857038
2021-01-26,174417.89135612888,143916.7288604263
2021-01-27,171581.4250664922,142310.58804815196
2021-01-28,173586.11603611172,143367.43899232696
2021-01-29,170582.7586666518,141590.6530999505
2021-02-01,173616.23937639288,143170.22433600028
2021-02-02,175066.26957317785,143991.60957664455
2021-02-03,175122.287393104,143906.69822387907
2021-02-04,176386.39988991528,144494.9213290554
2021-02-05,176841.3736065435,144622.09713843625
2021-02-08,178097.0192663814,145181.37162179168
2021-02-09,178095.0891727893,145282.78137930227
2021-02-10,178307.0098894374,145323.47861064915
2021-02-11,178375.66742885538,145549.96572354046
2021-02-12,179064.31591257284,145891.38269844058
2021-02-16,178734.5384412295,145616.59031951893
2021-02-17,178320.7427722903,145402.82495739465
2021-02-18,177421.03794712262,144708.6194797511
2021-02-19,177350.682233857,144379.3587553939
2021-02-22,177119.33880956762,143972.11912006154
2021-02-23,176585.34936232417,143662.92770114721
2021-02-24,177442.41116025764,143795.5669567668
2021-02-25,175012.35672295478,142431.15236994758
2021-02-26,174244.49727721972,142528.69344661097
2021-03-01,176356.299540019,144032.39754561856
2021-03-02,175593.6734197421,143741.19252194348
2021-03-03,174189.9864141366,142954.37103997078
2021-03-04,172575.68309366924,141764.0113752647
2021-03-05,174378.20920862418,142893.9945530433
2021-03-08,173570.78579606238,142706.42922059682
2021-03-09,175721.34187776622,143751.6938687953
2021-03-10,176307.8463392125,144338.76876290372
2021-03-11,176222.86620608447,144400.0775945784
2021-03-12,175668.03591943136,143682.7789553314
2021-03-15,176457.4634794887,144186.6323815683
2021-03-16,176063.4899747317,143855.7555100565
2021-03-17,176445.5164881576,143996.28142640268
2021-03-18,176135.54754540158,143498.57833204375
2021-03-19,176109.09452912473,143539.0182362693
2021-03-22,176845.85747845733,143994.7145832217
2021-03-23,176096.50905122492,143710.29533612597
2021-03-24,175648.300940932,143485.97521073982
2021-03-25,176602.9520992085,144123.91017808503
2021-03-26,178030.09775596007,144833.00815831774
2021-03-29,177294.10434471132,144556.63579016845
2021-03-30,176965.27230157508,144690.73843614524
2021-03-31,176852.24378517707,144385.95922085858
2021-04-01,178615.49439226856,145581.1735883544
2021-04-05,179996.017584029,146255.36658885152
2021-04-06,180598.88257464734,146486.05258048634
2021-04-07,181331.23290375876,146945.8551781472
2021-04-08,181680.52757375658,147162.2519721748
2021-04-09,181598.8514517294,147335.77095855528
2021-04-12,181581.53323405684,147257.96549640488
2021-04-13,181961.02096594265,147302.38101672393
2021-04-14,181310.03703767573,147103.8977465505
2021-04-15,183538.34250870947,148346.4225441541
2021-04-16,183961.84774790343,148297.05649491743
